arquivo	palavra	label
TCU4687.txt	BOA	O
TCU4687.txt	E	O
TCU4687.txt	REGULAR	O
TCU4687.txt	APLICAÇÃO	O
TCU4687.txt	DE	O
TCU4687.txt	RECURSOS	O
TCU4687.txt	PÚBLICOS	O
TCU4687.txt	FEDERAIS	O
TCU4687.txt	RECEBIDOS	O
TCU4687.txt	À	O
TCU4687.txt	CONTA	O
TCU4687.txt	DA	O
TCU4687.txt	LEI	B-LEGISLACAO
TCU4687.txt	ROUANET	I-LEGISLACAO
TCU4687.txt	.	O
TCU4687.txt	CONTAS	O
TCU4687.txt	IRREGULARES	O
TCU4687.txt	,	O
TCU4687.txt	DÉBITO	O
TCU4687.txt	E	O
TCU4687.txt	MULTA	O
TCU4687.txt	.	O
TCU4687.txt	1	O
TCU4687.txt	.	O
TCU4687.txt	A	O
TCU4687.txt	apresentação	O
TCU4687.txt	ulterior	O
TCU4687.txt	de	O
TCU4687.txt	documentos	O
TCU4687.txt	a	O
TCU4687.txt	título	O
TCU4687.txt	de	O
TCU4687.txt	prestação	O
TCU4687.txt	de	O
TCU4687.txt	contas	O
TCU4687.txt	,	O
TCU4687.txt	sem	O
TCU4687.txt	justificativa	O
TCU4687.txt	para	O
TCU4687.txt	a	O
TCU4687.txt	omissão	O
TCU4687.txt	inicial	O
TCU4687.txt	,	O
TCU4687.txt	não	O
TCU4687.txt	afasta	O
TCU4687.txt	a	O
TCU4687.txt	irregularidade	O
TCU4687.txt	.	O
TCU4687.txt	2	O
TCU4687.txt	.	O
TCU4687.txt	A	O
TCU4687.txt	ausência	O
TCU4687.txt	de	O
TCU4687.txt	comprovação	O
TCU4687.txt	da	O
TCU4687.txt	boa	O
TCU4687.txt	e	O
TCU4687.txt	regular	O
TCU4687.txt	aplicação	O
TCU4687.txt	dos	O
TCU4687.txt	recursos	O
TCU4687.txt	federais	O
TCU4687.txt	recebidos	O
TCU4687.txt	à	O
TCU4687.txt	conta	O
TCU4687.txt	da	O
TCU4687.txt	Lei	B-LEGISLACAO
TCU4687.txt	Rouanet	I-LEGISLACAO
TCU4687.txt	enseja	O
TCU4687.txt	a	O
TCU4687.txt	responsabilização	O
TCU4687.txt	do	O
TCU4687.txt	gestor	O
TCU4687.txt	dos	O
TCU4687.txt	recursos	O
TCU4687.txt	.	O
TCU4687.txt	RELATÓRIO	O
TCU4687.txt	Tratam	O
TCU4687.txt	os	O
TCU4687.txt	autos	O
TCU4687.txt	de	O
TCU4687.txt	Tomada	O
TCU4687.txt	de	O
TCU4687.txt	Contas	O
TCU4687.txt	Especial	O
TCU4687.txt	instaurada	O
TCU4687.txt	pela	O
TCU4687.txt	Secretaria	B-ORGANIZACAO
TCU4687.txt	de	I-ORGANIZACAO
TCU4687.txt	Incentivo	I-ORGANIZACAO
TCU4687.txt	e	I-ORGANIZACAO
TCU4687.txt	Fomento	I-ORGANIZACAO
TCU4687.txt	à	I-ORGANIZACAO
TCU4687.txt	Cultura	I-ORGANIZACAO
TCU4687.txt	,	O
TCU4687.txt	do	O
TCU4687.txt	Ministério	B-ORGANIZACAO
TCU4687.txt	da	I-ORGANIZACAO
TCU4687.txt	Cultura	I-ORGANIZACAO
TCU4687.txt	,	O
TCU4687.txt	em	O
TCU4687.txt	desfavor	O
TCU4687.txt	do	O
TCU4687.txt	Sr.	O
TCU4687.txt	Robsmar	B-PESSOA
TCU4687.txt	da	I-PESSOA
TCU4687.txt	Silva	I-PESSOA
TCU4687.txt	,	O
TCU4687.txt	pela	O
TCU4687.txt	omissão	O
TCU4687.txt	no	O
TCU4687.txt	dever	O
TCU4687.txt	de	O
TCU4687.txt	prestar	O
TCU4687.txt	contas	O
TCU4687.txt	dos	O
TCU4687.txt	recursos	O
TCU4687.txt	recebidos	O
TCU4687.txt	à	O
TCU4687.txt	conta	O
TCU4687.txt	da	O
TCU4687.txt	Lei	B-LEGISLACAO
TCU4687.txt	Rouanet	I-LEGISLACAO
TCU4687.txt	para	O
TCU4687.txt	a	O
TCU4687.txt	realização	O
TCU4687.txt	do	O
TCU4687.txt	projeto	O
TCU4687.txt	“	O
TCU4687.txt	Aero	B-ORGANIZACAO
TCU4687.txt	Circus	I-ORGANIZACAO
TCU4687.txt	Espetáculos	I-ORGANIZACAO
TCU4687.txt	Itinerantes	I-ORGANIZACAO
TCU4687.txt	”	O
TCU4687.txt	.	O
TCU4687.txt	EXAME	O
TCU4687.txt	PRELIMINAR	O
TCU4687.txt	2	O
TCU4687.txt	.	O
TCU4687.txt	Consoante	O
TCU4687.txt	exame	O
TCU4687.txt	preliminar	O
TCU4687.txt	(	O
TCU4687.txt	Peça	O
TCU4687.txt	02	O
TCU4687.txt	)	O
TCU4687.txt	,	O
TCU4687.txt	o	O
TCU4687.txt	disposto	O
TCU4687.txt	no	O
TCU4687.txt	art	B-LEGISLACAO
TCU4687.txt	.	I-LEGISLACAO
TCU4687.txt	4º	I-LEGISLACAO
TCU4687.txt	da	I-LEGISLACAO
TCU4687.txt	IN-TCU	I-LEGISLACAO
TCU4687.txt	nº	I-LEGISLACAO
TCU4687.txt	56/2007	I-LEGISLACAO
TCU4687.txt	foi	O
TCU4687.txt	observado	O
TCU4687.txt	,	O
TCU4687.txt	vez	O
TCU4687.txt	que	O
TCU4687.txt	constam	O
TCU4687.txt	nos	O
TCU4687.txt	autos	O
TCU4687.txt	os	O
TCU4687.txt	documentos	O
TCU4687.txt	elencados	O
TCU4687.txt	no	O
TCU4687.txt	referido	O
TCU4687.txt	dispositivo	O
TCU4687.txt	normativo	O
TCU4687.txt	que	O
TCU4687.txt	se	O
TCU4687.txt	enquadram	O
TCU4687.txt	ao	O
TCU4687.txt	caso	O
TCU4687.txt	vertente	O
TCU4687.txt	e	O
TCU4687.txt	que	O
TCU4687.txt	possibilitam	O
TCU4687.txt	a	O
TCU4687.txt	análise	O
TCU4687.txt	do	O
TCU4687.txt	mérito	O
TCU4687.txt	da	O
TCU4687.txt	questão	O
TCU4687.txt	em	O
TCU4687.txt	debate	O
TCU4687.txt	e	O
TCU4687.txt	o	O
TCU4687.txt	amplo	O
TCU4687.txt	exercício	O
TCU4687.txt	do	O
TCU4687.txt	contraditório	O
TCU4687.txt	e	O
TCU4687.txt	do	O
TCU4687.txt	direito	O
TCU4687.txt	de	O
TCU4687.txt	defesa	O
TCU4687.txt	.	O
TCU4687.txt	INSTRUÇÃO	O
TCU4687.txt	INICIAL	O
TCU4687.txt	3	O
TCU4687.txt	.	O
TCU4687.txt	Por	O
TCU4687.txt	meio	O
TCU4687.txt	da	O
TCU4687.txt	instrução	O
TCU4687.txt	inicial	O
TCU4687.txt	(	O
TCU4687.txt	Peça	O
TCU4687.txt	03	O
TCU4687.txt	)	O
TCU4687.txt	,	O
TCU4687.txt	propôs	O
TCU4687.txt	a	O
TCU4687.txt	Unidade	O
TCU4687.txt	Técnica	O
TCU4687.txt	a	O
TCU4687.txt	citação	O
TCU4687.txt	do	O
TCU4687.txt	responsável	O
TCU4687.txt	,	O
TCU4687.txt	Sr.	O
TCU4687.txt	Robsmar	B-PESSOA
TCU4687.txt	da	I-PESSOA
TCU4687.txt	Silva	I-PESSOA
TCU4687.txt	,	O
TCU4687.txt	para	O
TCU4687.txt	que	O
TCU4687.txt	apresentasse	O
TCU4687.txt	alegações	O
TCU4687.txt	de	O
TCU4687.txt	defesa	O
TCU4687.txt	e/ou	O
TCU4687.txt	recolhesse	O
TCU4687.txt	aos	O
TCU4687.txt	cofres	O
TCU4687.txt	públicos	O
TCU4687.txt	a	O
TCU4687.txt	importância	O
TCU4687.txt	de	O
TCU4687.txt	R	O
TCU4687.txt	$	O
TCU4687.txt	67.826,00	O
TCU4687.txt	,	O
TCU4687.txt	atualizada	O
TCU4687.txt	monetariamente	O
TCU4687.txt	e	O
TCU4687.txt	acrescida	O
TCU4687.txt	dos	O
TCU4687.txt	devidos	O
TCU4687.txt	encargos	O
TCU4687.txt	,	O
TCU4687.txt	por	O
TCU4687.txt	não	O
TCU4687.txt	ter	O
TCU4687.txt	prestado	O
TCU4687.txt	contas	O
TCU4687.txt	dos	O
TCU4687.txt	recursos	O
TCU4687.txt	que	O
TCU4687.txt	geriu	O
TCU4687.txt	para	O
TCU4687.txt	a	O
TCU4687.txt	realização	O
TCU4687.txt	do	O
TCU4687.txt	projeto	O
TCU4687.txt	“	O
TCU4687.txt	Aero	B-ORGANIZACAO
TCU4687.txt	Circus	I-ORGANIZACAO
TCU4687.txt	Espetáculos	I-ORGANIZACAO
TCU4687.txt	Itinerantes	I-ORGANIZACAO
TCU4687.txt	”	O
TCU4687.txt	.	O
TCU4687.txt	CITAÇÃO	O
TCU4687.txt	4	O
TCU4687.txt	.	O
TCU4687.txt	Conforme	O
TCU4687.txt	ARs	O
TCU4687.txt	inclusos	O
TCU4687.txt	às	O
TCU4687.txt	peças	O
TCU4687.txt	09	O
TCU4687.txt	e	O
TCU4687.txt	11	O
TCU4687.txt	,	O
TCU4687.txt	o	O
TCU4687.txt	responsável	O
TCU4687.txt	foi	O
TCU4687.txt	regularmente	O
TCU4687.txt	citado	O
TCU4687.txt	,	O
TCU4687.txt	tendo	O
TCU4687.txt	ofertado	O
TCU4687.txt	tempestivamente	O
TCU4687.txt	suas	O
TCU4687.txt	respectivas	O
TCU4687.txt	alegações	O
TCU4687.txt	de	O
TCU4687.txt	defesa	O
TCU4687.txt	,	O
TCU4687.txt	as	O
TCU4687.txt	quais	O
TCU4687.txt	foram	O
TCU4687.txt	compostas	O
TCU4687.txt	unicamente	O
TCU4687.txt	da	O
TCU4687.txt	documentação	O
TCU4687.txt	encaminhada	O
TCU4687.txt	a	O
TCU4687.txt	título	O
TCU4687.txt	de	O
TCU4687.txt	prestação	O
TCU4687.txt	de	O
TCU4687.txt	contas	O
TCU4687.txt	(	O
TCU4687.txt	Peça	O
TCU4687.txt	13	O
TCU4687.txt	)	O
TCU4687.txt	.	O
TCU4687.txt	INSTRUÇÃO	O
TCU4687.txt	FINAL	O
TCU4687.txt	5	O
TCU4687.txt	.	O
TCU4687.txt	Instruído	O
TCU4687.txt	o	O
TCU4687.txt	feito	O
TCU4687.txt	,	O
TCU4687.txt	a	O
TCU4687.txt	Unidade	O
TCU4687.txt	Técnica	O
TCU4687.txt	apresentou	O
TCU4687.txt	proposta	O
TCU4687.txt	final	O
TCU4687.txt	de	O
TCU4687.txt	encaminhamento	O
TCU4687.txt	acorde	O
TCU4687.txt	,	O
TCU4687.txt	que	O
TCU4687.txt	,	O
TCU4687.txt	nos	O
TCU4687.txt	termos	O
TCU4687.txt	do	O
TCU4687.txt	inciso	B-LEGISLACAO
TCU4687.txt	I	I-LEGISLACAO
TCU4687.txt	,	I-LEGISLACAO
TCU4687.txt	§3º	I-LEGISLACAO
TCU4687.txt	do	I-LEGISLACAO
TCU4687.txt	art	I-LEGISLACAO
TCU4687.txt	.	I-LEGISLACAO
TCU4687.txt	1º	I-LEGISLACAO
TCU4687.txt	da	I-LEGISLACAO
TCU4687.txt	Lei	I-LEGISLACAO
TCU4687.txt	nº	I-LEGISLACAO
TCU4687.txt	8.443/92	I-LEGISLACAO
TCU4687.txt	transcrevo	O
TCU4687.txt	(	O
TCU4687.txt	Peças	O
TCU4687.txt	15/16	O
TCU4687.txt	)	O
TCU4687.txt	:	O
TCU4687.txt	“	O
TCU4687.txt	O	O
TCU4687.txt	presente	O
TCU4687.txt	processo	O
TCU4687.txt	de	O
TCU4687.txt	Tomada	O
TCU4687.txt	de	O
TCU4687.txt	Contas	O
TCU4687.txt	Especial	O
TCU4687.txt	foi	O
TCU4687.txt	instaurado	O
TCU4687.txt	pela	O
TCU4687.txt	Secretaria	B-ORGANIZACAO
TCU4687.txt	de	I-ORGANIZACAO
TCU4687.txt	Incentivo	I-ORGANIZACAO
TCU4687.txt	e	I-ORGANIZACAO
TCU4687.txt	Fomento	I-ORGANIZACAO
TCU4687.txt	à	I-ORGANIZACAO
TCU4687.txt	Cultura	I-ORGANIZACAO
TCU4687.txt	,	O
TCU4687.txt	do	O
TCU4687.txt	Ministério	B-ORGANIZACAO
TCU4687.txt	da	I-ORGANIZACAO
TCU4687.txt	Cultura	I-ORGANIZACAO
TCU4687.txt	,	O
TCU4687.txt	em	O
TCU4687.txt	desfavor	O
TCU4687.txt	do	O
TCU4687.txt	Sr.	O
TCU4687.txt	Robsmar	B-PESSOA
TCU4687.txt	da	I-PESSOA
TCU4687.txt	Silva	I-PESSOA
TCU4687.txt	(	O
TCU4687.txt	CPF	O
TCU4687.txt	730.850.069-15	O
TCU4687.txt	)	O
TCU4687.txt	,	O
TCU4687.txt	pela	O
TCU4687.txt	omissão	O
TCU4687.txt	no	O
TCU4687.txt	dever	O
TCU4687.txt	de	O
TCU4687.txt	prestar	O
TCU4687.txt	contas	O
TCU4687.txt	dos	O
TCU4687.txt	recursos	O
TCU4687.txt	recebidos	O
TCU4687.txt	para	O
TCU4687.txt	a	O
TCU4687.txt	realização	O
TCU4687.txt	do	O
TCU4687.txt	projeto	O
TCU4687.txt	“	O
TCU4687.txt	Aero	B-ORGANIZACAO
TCU4687.txt	Circus	I-ORGANIZACAO
TCU4687.txt	Espetáculos	I-ORGANIZACAO
TCU4687.txt	Itinerantes	I-ORGANIZACAO
TCU4687.txt	”	O
TCU4687.txt	,	O
TCU4687.txt	conforme	O
TCU4687.txt	processo	O
TCU4687.txt	01400.005462/03-24	O
TCU4687.txt	que	O
TCU4687.txt	autorizou	O
TCU4687.txt	a	O
TCU4687.txt	captação	O
TCU4687.txt	de	O
TCU4687.txt	recursos	O
TCU4687.txt	no	O
TCU4687.txt	período	O
TCU4687.txt	de	O
TCU4687.txt	26/09/2003	B-TEMPO
TCU4687.txt	a	O
TCU4687.txt	31/12/2004	B-TEMPO
TCU4687.txt	.	O
TCU4687.txt	2	O
TCU4687.txt	.	O
TCU4687.txt	O	O
TCU4687.txt	Sr.	O
TCU4687.txt	Robsmar	B-PESSOA
TCU4687.txt	da	I-PESSOA
TCU4687.txt	Silva	I-PESSOA
TCU4687.txt	,	O
TCU4687.txt	sob	O
TCU4687.txt	o	O
TCU4687.txt	amparo	O
TCU4687.txt	da	O
TCU4687.txt	Lei	B-LEGISLACAO
TCU4687.txt	8.313/1991	I-LEGISLACAO
TCU4687.txt	,	O
TCU4687.txt	Lei	B-LEGISLACAO
TCU4687.txt	Rouanet	I-LEGISLACAO
TCU4687.txt	,	O
TCU4687.txt	assinou	O
TCU4687.txt	,	O
TCU4687.txt	em	O
TCU4687.txt	29/12/2003	B-TEMPO
TCU4687.txt	,	O
TCU4687.txt	o	O
TCU4687.txt	Recibo	O
TCU4687.txt	001	O
TCU4687.txt	PRONAC	O
TCU4687.txt	03.3925	O
TCU4687.txt	(	O
TCU4687.txt	Peça	O
TCU4687.txt	1	O
TCU4687.txt	,	O
TCU4687.txt	p.	O
TCU4687.txt	52	O
TCU4687.txt	)	O
TCU4687.txt	,	O
TCU4687.txt	3/1/2002	B-TEMPO
TCU4687.txt	,	O
TCU4687.txt	no	O
TCU4687.txt	valor	O
TCU4687.txt	inicial	O
TCU4687.txt	de	O
TCU4687.txt	R	O
TCU4687.txt	$	O
TCU4687.txt	84.783,41	O
TCU4687.txt	,	O
TCU4687.txt	para	O
TCU4687.txt	a	O
TCU4687.txt	realização	O
TCU4687.txt	do	O
TCU4687.txt	projeto	O
TCU4687.txt	“	O
TCU4687.txt	Aero	B-ORGANIZACAO
TCU4687.txt	Circus	I-ORGANIZACAO
TCU4687.txt	Espetáculos	I-ORGANIZACAO
TCU4687.txt	Itinerantes	I-ORGANIZACAO
TCU4687.txt	”	O
TCU4687.txt	que	O
TCU4687.txt	previa	O
TCU4687.txt	a	O
TCU4687.txt	realização	O
TCU4687.txt	de	O
TCU4687.txt	20	O
TCU4687.txt	espetáculos	O
TCU4687.txt	circenses	O
TCU4687.txt	itinerantes	O
TCU4687.txt	no	O
TCU4687.txt	Estado	B-LOCAL
TCU4687.txt	do	I-LOCAL
TCU4687.txt	Paraná	I-LOCAL
TCU4687.txt	com	O
TCU4687.txt	a	O
TCU4687.txt	Trupe	O
TCU4687.txt	“	O
TCU4687.txt	Aero	B-ORGANIZACAO
TCU4687.txt	Circus	I-ORGANIZACAO
TCU4687.txt	”	O
TCU4687.txt	,	O
TCU4687.txt	nos	O
TCU4687.txt	seguintes	O
TCU4687.txt	municípios	O
TCU4687.txt	,	O
TCU4687.txt	conforme	O
TCU4687.txt	a	O
TCU4687.txt	solicitação	O
TCU4687.txt	de	O
TCU4687.txt	apoio	O
TCU4687.txt	a	O
TCU4687.txt	projetos	O
TCU4687.txt	(	O
TCU4687.txt	Peça	O
TCU4687.txt	1	O
TCU4687.txt	,	O
TCU4687.txt	p.	O
TCU4687.txt	4-22	O
TCU4687.txt	)	O
TCU4687.txt	:	O
TCU4687.txt	Município	O
TCU4687.txt	Quantidade	O
TCU4687.txt	de	O
TCU4687.txt	espetáculos	O
TCU4687.txt	Londrina	B-LOCAL
TCU4687.txt	3	O
TCU4687.txt	Campo	B-LOCAL
TCU4687.txt	Mourão	I-LOCAL
TCU4687.txt	2	O
TCU4687.txt	Curitiba	B-LOCAL
TCU4687.txt	3	O
TCU4687.txt	Cascavel	B-LOCAL
TCU4687.txt	3	O
TCU4687.txt	Foz	B-LOCAL
TCU4687.txt	do	I-LOCAL
TCU4687.txt	Iguaçu	I-LOCAL
TCU4687.txt	3	O
TCU4687.txt	Guarapuava	B-LOCAL
TCU4687.txt	3	O
TCU4687.txt	Maringá	B-LOCAL
TCU4687.txt	3	O
TCU4687.txt	3	O
TCU4687.txt	.	O
TCU4687.txt	Foram	O
TCU4687.txt	captados	O
TCU4687.txt	pelo	O
TCU4687.txt	responsável	O
TCU4687.txt	,	O
TCU4687.txt	recursos	O
TCU4687.txt	no	O
TCU4687.txt	montante	O
TCU4687.txt	R	O
TCU4687.txt	$	O
TCU4687.txt	67.826,00	O
TCU4687.txt	,	O
TCU4687.txt	junto	O
TCU4687.txt	à	O
TCU4687.txt	Companhia	B-ORGANIZACAO
TCU4687.txt	de	I-ORGANIZACAO
TCU4687.txt	Saneamento	I-ORGANIZACAO
TCU4687.txt	do	I-ORGANIZACAO
TCU4687.txt	Paraná	I-ORGANIZACAO
TCU4687.txt	Sanepar	B-ORGANIZACAO
TCU4687.txt	,	O
TCU4687.txt	com	O
TCU4687.txt	crédito	O
TCU4687.txt	aportado	O
TCU4687.txt	em	O
TCU4687.txt	29/12/2003	B-TEMPO
TCU4687.txt	,	O
TCU4687.txt	à	O
TCU4687.txt	conta-corrente	O
TCU4687.txt	42.762-6	O
TCU4687.txt	,	O
TCU4687.txt	da	O
TCU4687.txt	agência	O
TCU4687.txt	0394	O
TCU4687.txt	da	O
TCU4687.txt	Caixa	B-ORGANIZACAO
TCU4687.txt	Econômica	I-ORGANIZACAO
TCU4687.txt	Federal	I-ORGANIZACAO
TCU4687.txt	(	O
TCU4687.txt	peça	O
TCU4687.txt	1	O
TCU4687.txt	,	O
TCU4687.txt	p.	O
TCU4687.txt	151	O
TCU4687.txt	)	O
TCU4687.txt	.	O
TCU4687.txt	4	O
TCU4687.txt	.	O
TCU4687.txt	O	O
TCU4687.txt	responsável	O
TCU4687.txt	deveria	O
TCU4687.txt	apresentar	O
TCU4687.txt	a	O
TCU4687.txt	Prestação	O
TCU4687.txt	de	O
TCU4687.txt	Contas	O
TCU4687.txt	Final	O
TCU4687.txt	em	O
TCU4687.txt	30/1/2005	B-TEMPO
TCU4687.txt	,	O
TCU4687.txt	conforme	O
TCU4687.txt	carta	O
TCU4687.txt	de	O
TCU4687.txt	cobrança	O
TCU4687.txt	de	O
TCU4687.txt	Prestação	O
TCU4687.txt	de	O
TCU4687.txt	Contas	O
TCU4687.txt	101/2005	O
TCU4687.txt	(	O
TCU4687.txt	Peça	O
TCU4687.txt	1	O
TCU4687.txt	,	O
TCU4687.txt	p.	O
TCU4687.txt	60	O
TCU4687.txt	)	O
TCU4687.txt	e	O
TCU4687.txt	Ficha	O
TCU4687.txt	de	O
TCU4687.txt	Qualificação	O
TCU4687.txt	(	O
TCU4687.txt	Peça	O
TCU4687.txt	1	O
TCU4687.txt	,	O
TCU4687.txt	p.	O
TCU4687.txt	84-85	O
TCU4687.txt	)	O
TCU4687.txt	.	O
TCU4687.txt	5	O
TCU4687.txt	.	O
TCU4687.txt	O	O
TCU4687.txt	Relatório	O
TCU4687.txt	do	O
TCU4687.txt	Tomador	O
TCU4687.txt	de	O
TCU4687.txt	Contas	O
TCU4687.txt	(	O
TCU4687.txt	peça	O
TCU4687.txt	1	O
TCU4687.txt	,	O
TCU4687.txt	p.112-116	O
TCU4687.txt	)	O
TCU4687.txt	concluiu	O
TCU4687.txt	estar	O
TCU4687.txt	caracterizado	O
TCU4687.txt	o	O
TCU4687.txt	dano	O
TCU4687.txt	ao	O
TCU4687.txt	Erário	O
TCU4687.txt	em	O
TCU4687.txt	razão	O
TCU4687.txt	da	O
TCU4687.txt	omissão	O
TCU4687.txt	no	O
TCU4687.txt	dever	O
TCU4687.txt	de	O
TCU4687.txt	prestar	O
TCU4687.txt	contas	O
TCU4687.txt	.	O
TCU4687.txt	Conclusão	O
TCU4687.txt	reiterada	O
TCU4687.txt	pelos	O
TCU4687.txt	pareceres	O
TCU4687.txt	pela	O
TCU4687.txt	irregularidade	O
TCU4687.txt	das	O
TCU4687.txt	contas	O
TCU4687.txt	expedidos	O
TCU4687.txt	no	O
TCU4687.txt	âmbito	O
TCU4687.txt	do	O
TCU4687.txt	Relatório	O
TCU4687.txt	e	O
TCU4687.txt	Certificado	O
TCU4687.txt	de	O
TCU4687.txt	Auditoria	O
TCU4687.txt	n	O
TCU4687.txt	.	O
TCU4687.txt	677/2013	O
TCU4687.txt	(	O
TCU4687.txt	peça	O
TCU4687.txt	1	O
TCU4687.txt	,	O
TCU4687.txt	p.	O
TCU4687.txt	136-140	O
TCU4687.txt	)	O
TCU4687.txt	e	O
TCU4687.txt	no	O
TCU4687.txt	Pronunciamento	O
TCU4687.txt	Ministerial	O
TCU4687.txt	(	O
TCU4687.txt	peça	O
TCU4687.txt	1	O
TCU4687.txt	,	O
TCU4687.txt	p.	O
TCU4687.txt	148	O
TCU4687.txt	)	O
TCU4687.txt	.	O
TCU4687.txt	6	O
TCU4687.txt	.	O
TCU4687.txt	Diante	O
TCU4687.txt	dessas	O
TCU4687.txt	conclusões	O
TCU4687.txt	,	O
TCU4687.txt	o	O
TCU4687.txt	responsável	O
TCU4687.txt	,	O
TCU4687.txt	Sr.	O
TCU4687.txt	Robsmar	B-PESSOA
TCU4687.txt	da	I-PESSOA
TCU4687.txt	Silva	I-PESSOA
TCU4687.txt	(	O
TCU4687.txt	CPF	O
TCU4687.txt	730.850.069-15	O
TCU4687.txt	)	O
TCU4687.txt	,	O
TCU4687.txt	foi	O
TCU4687.txt	citado	O
TCU4687.txt	nos	O
TCU4687.txt	termos	O
TCU4687.txt	do	O
TCU4687.txt	artigo	B-LEGISLACAO
TCU4687.txt	10	I-LEGISLACAO
TCU4687.txt	,	I-LEGISLACAO
TCU4687.txt	§	I-LEGISLACAO
TCU4687.txt	1º	I-LEGISLACAO
TCU4687.txt	e	I-LEGISLACAO
TCU4687.txt	inciso	I-LEGISLACAO
TCU4687.txt	II	I-LEGISLACAO
TCU4687.txt	do	I-LEGISLACAO
TCU4687.txt	artigo	I-LEGISLACAO
TCU4687.txt	12	I-LEGISLACAO
TCU4687.txt	,	I-LEGISLACAO
TCU4687.txt	da	I-LEGISLACAO
TCU4687.txt	Lei	I-LEGISLACAO
TCU4687.txt	8.443/1992	I-LEGISLACAO
TCU4687.txt	,	O
TCU4687.txt	c/c	O
TCU4687.txt	o	O
TCU4687.txt	inciso	B-LEGISLACAO
TCU4687.txt	II	I-LEGISLACAO
TCU4687.txt	do	I-LEGISLACAO
TCU4687.txt	artigo	I-LEGISLACAO
TCU4687.txt	202	I-LEGISLACAO
TCU4687.txt	do	I-LEGISLACAO
TCU4687.txt	Regimento	I-LEGISLACAO
TCU4687.txt	Interno	I-LEGISLACAO
TCU4687.txt	do	I-LEGISLACAO
TCU4687.txt	TCU	I-LEGISLACAO
TCU4687.txt	,	O
TCU4687.txt	para	O
TCU4687.txt	que	O
TCU4687.txt	apresentasse	O
TCU4687.txt	alegações	O
TCU4687.txt	de	O
TCU4687.txt	defesa	O
TCU4687.txt	e/ou	O
TCU4687.txt	recolhesse	O
TCU4687.txt	aos	O
TCU4687.txt	cofres	O
TCU4687.txt	do	O
TCU4687.txt	Tesouro	B-ORGANIZACAO
TCU4687.txt	Nacional	I-ORGANIZACAO
TCU4687.txt	,	O
TCU4687.txt	o	O
TCU4687.txt	valor	O
TCU4687.txt	de	O
TCU4687.txt	R	O
TCU4687.txt	$	O
TCU4687.txt	67.826,00	O
TCU4687.txt	,	O
TCU4687.txt	que	O
TCU4687.txt	deverá	O
TCU4687.txt	ser	O
TCU4687.txt	atualizado	O
TCU4687.txt	a	O
TCU4687.txt	partir	O
TCU4687.txt	de	O
TCU4687.txt	29/12/2003	B-TEMPO
TCU4687.txt	,	O
TCU4687.txt	em	O
TCU4687.txt	razão	O
TCU4687.txt	da	O
TCU4687.txt	omissão	O
TCU4687.txt	no	O
TCU4687.txt	dever	O
TCU4687.txt	de	O
TCU4687.txt	prestar	O
